,english_premise,english_hypothesis,english_label
8638,"Unfortunately, not all Americans share our view of the importance of philanthropy.",Not all Americans recognize the importance of supporting churches.,1
8639,"Her sister's husband was light-headed, too.",Her husband's brother was bright.,0
8640,"TVA installed a bypass structure to direct the gas from the air heater outlet directly to the FGD, while the ESP was dismantled and SCR's reactor took its place.",The bypass canal will deliver gas to the FGD in Russia.,1
8641,"In addition, Indiana residents can receive tax relief through a tax deduction directly derived from the state &apos; s tax revenues.",Indiana residents receive tax benefits from Indiana.,0
8642,It's a rocky area where a farmer named Laver hid among the boulders from wanting to kill him.,Lover had a target on his head and had to hide between the stones.,0
8643,There's something about Southern jokes that turns class associations inside out.,South Egypt has a clear and strict class system.,2
8644,"On the need to move from need to need to be shared, see James Steinberg's testimony of 14 October 2003.",James Steinberg found that more separation was needed.,0
8645,"There's so much to talk about, I'm gonna skip the details.","I'm not gonna talk about it, even though there's a lot to hide.",0
8646,"They probably weren't the most brilliant people in the world, but they were very handsome people who paid sincere attention to those who wanted to learn.","With more than outstanding abilities, they despised anyone who had worked hard to learn.",2
8647,Since you don't mind being humiliated by ten-year-old resident experts.,Ten - year - old children are fools.,2
8648,"Several heroes from Texas, such as Gregorio Cortes, Juan Cortina and Catarino Garza, have perpetuated themselves because of their confrontation with the Texas Rangers.",Juan Cortinna led a group that ran into the Texas Rangers.,1
8649,"Although I can't take Hendrickson's origin for horse latitudes, to give him credit, he only copied etymology from other sources, including OED.",I don't agree with Hendrickson about the origin of the width of the pin belt.,0
8650,At least there's a comforting prize for mankind.,Everyone gets a comforting prize-- free blandes with two speeds.,1
8651,23 Financial Market Movement to Achieve the Objectives of the Financial Directors Act and Federal Financial Reform,23Financial continues to achieve CFO goals thanks to a positive trend in development.,0
8652,My second set of objections to Littleton's communitarian explanation is how it puts excessive blame on parents.,I have no objection to Littleton's Communist explanation.,2
8653,You should have seen the great danger that this represents...,You should pay more attention.,1
8654,Shouldn't you go to Linux?,Shouldn't you change your operating system to Linux?,0
8655,"Well, considering Bill Bradley grew up in St. Louis... but wait a minute, it would be funny if Al Gore grew up in Tennessee.",Bradley was from the eastern region of St. Louis.,1
8656,Such boats were built to gain quick access to incoming ships.,Boats were invented to facilitate trade.,1
8657,"So integratedist faith is black liberals like Professors Henry Louis Gates and Cornell West, who joins them as a black economist, Glenn Lowry, a conservative who broke ranks to support affirmative action as a necessary policy.",Not all of your conservatives are gonna be Glenn Lowry.,1
8658,Semi-finished meals have terrible glory.,People can watch dinners on TV.,0
8659,"Hasnawi (Reis 93) and Vale Al-Shehri (Reis 11) arrived in Miami from London on 8 June 2001, as did the previous three.",Hasnavi (Flight 93) flew from London to New York.,2
8660,Three million a night is too much.,One minute at night is a better dosage.,1
8661,My IRT affair was short-lived.,I despise IRT very much.,2
8662,"In the middle of the square is the granite Weltkugelbrunnen (Pontan of the World) of Joachim Schmettau, who was christened a water dumpling by the locals in a fun way.","The Weltkugelbrunnen fountain is made of granite, very black and shiny.",1
8663,"Mark them or what you do, they'll tell you what to do, but you do it yourself.","After they say what needs to be done, they do it themselves.",0
8664,Don't think I'm willing to accept that.,I'd love to accept that.,2
8665,"I've got a VCR, and I've had to bring it back to repair a couple of times, because the same thing was broken, and the image left much to be desired.","The video recorder works for about a week, and then it breaks again.",1
8666,"If the United States does not demonstrate determination in determining its position in the Islamic world, the extremists will gladly do so for us.",The extremists would like to determine the US's place in the Islamic world.,0
8667,...why they have so little self-respect that they value friendships with thieves and murderers.,Some of their friends are thieves and murderers.,0
8668,"Even now, Blood hasn't claimed it.",Even now Blood didn't notice anything because he was busy.,1
8669,The following figure illustrates the traditional centralized and decentralized organizational structures compared to the hybrid ones used by the lead organizations today.,There's no difference between two types of structure.,2
8670,"Indeed, part of what we need is a way to describe the organization of real processes in an unbalanced world.",We don't have to mark anything.,2
8671,Such an attitude towards meaningful actors is quite common.,"To prevent special treatment, everyone pays the same amount.",2
8672,Although I still don't understand how he could even expect me to do that.,I don't understand why he thought I'd finish it.,0
8673,The monstrously loaded term of the developed scheme was heard at the hearing by Agent Jack Brooks...,Jack Brooks is a politician from Nebraska.,1
8674,"But many were not able to make a decision until they were satisfied with the answers to a number of questions, among which was the question posed by Oglam.",Ogle had a lot of unresolved problems.,0
8675,"We have made significant progress in many of the areas of work of the GAO that need improvement, and we will continue to do so.",We're working on improving some areas in GAO.,0
8676,"The only rest area is Treasure Beach, which has several hotels scattered on three sandy beaches.",Only one four-star hotel is available to visitors to the treasure beach.,1
8677,"The thing is, he never really needed to do anything for himself.",He's getting a lot of help.,0
8678,"Your assistance today will further strengthen the legacy of philanthropy in America by expanding the Centre &apos; s most important educational, leadership and mass programmes.",You could help us expand our outreach programmes.,0
8679,The Senate agreed that a new service was needed to oversee the investigation of nuclear weapons.,The Senate believed that the new agency needed to monitor nuclear weapons research.,0
8680,This service is impeccable.,It's an outstanding service.,0
8681,The second level of falseness is that Brock is protecting Hillary only to blow up his own scandal.,Some say it's not true that Brock is protecting Hillary to raise his own rating.,1
8682,"As Protestant, Pierre de Calve was appointed by the British Peace Court, but then he went to jail for selling information to American invaders.","Pierre was appointed, but he had to make his own arrest for trading with the Americans.",0
8683,But I suspect a heavy mask under which Lord Julian was secretly surprised.,This situation seemed funny to Giulina.,1
8684,"If you find the names Peculiar (Missouri) or those that appear as Surprise (Nebrasca), it's just Jot 'Em Down (Texas) Safey (Tennessee), unless they are Errata (Missispi).","There are 10,000 people living in Serprize, Nebraska.",1
8685,It is clear that much of the rather unique choice of the American Institute of Film Arts does not lend itself to sound cultural interpretation.,"A study of culture, guided by the election of the American Film Institute, may lead to some sharply opposing interpretations.",1
8686,"With the outbreak of war, Canada &apos; s reputation as a welcome country for the influx of immigrants and refugees from around the world was undermined by the imposition of restrictions on communists and Jews from Hitler Germany.",Canada has received the most hospitality from refugees from Africa.,1
8687,Our examination of the original studies used in this analysis reveals that the final points of health that might be affected by GAM issues have reduced hospitalization at the Base and alternative calculations,The expected health outcomes have increased the number of patients entering hospitals.,2
8688,"If you find the names Peculiar (Missouri) or those that appear as Surprise (Nebrasca), it's just Jot 'Em Down (Texas) Safey (Tennessee), unless they are Errata (Missispi).",Surprize is a municipality in the U.S. state of Nebraska.,0
8689,The spirit of liberalism that prevailed in Europe came late to Spain.,Liberalism has not reached Spain until recently.,0
8690,The police reported that they expelled her half-brother and sister from the murder suspects Johnbenet Ramsey because they were not in town at the time of the crime.,There's enough evidence to arrest Johnbanet Ramsey's half-brother as a murderer.,2
8691,"Today's question reminds me of the only time I went to Radio City Music Hall for a Christmas dance where, among other things, something called Living Nature is offered.",I was 12 years old when I first saw the scene of Christ's Christmas in the form of living paintings.,1
8692,"Suspicious of the transaction, the administrator distanced himself from Hazmi and Mihdar, but not before they received the necessary assistance.",The Administrator provided assistance despite his fears.,0
8693,An alternative to an undesirable expression to avoid loss of face or insult to another person involved in communication or outside.,To avoid loss.,0
8694,"In the case of animals that were not acquired again by their owners, your 'Human Society' uses a wide range of services to help these animals and give them a chance to live a happy life.",The Humanist Society is a non-profit organization that takes care of abandoned pets.,1
8695,"Oh, my God. I was an English major, so I like to read the press.","I specialized in English, so I like to read.",0
8696,The Pandits often say that the winners write the story.,"According to the experts, the story is told by the people who won the lottery.",1
8697,There is almost no trace of this in Beijing today.,You'll hardly see the originals of the paintings in Beijing.,1
8698,They found this house or apartment or something where they could live on the edge of Broad Street.,They lived in a tent on Main Street.,2
8699,"The façade of the Temple of Ramses II is one of Egypt's most persistent images, and even though you may have seen it in photographs, in reality it really captures the spirit.",A faaade was discovered in Tutanhamon's tomb.,2
8700,6 The Court exercised this power moderately for fifty-five years prior to the Civil War.,The Court exercised its authority from time to time for decades before the Civil War.,0
8701,"I made my debut in Indianapolis as a stage director a month ago with the production of Storm, a classic American scene attended by over 5,500 secondary and high school students.",Several thousand high school students attended the performance I directed.,0
8702,"The place to buy for any taste and pleasure alleys is all the elegant prospectus of Garcia, the Barcelona version of the Elysée Fields, and the walkway of Ramble Catalunya, in the upper part of La Ramble Boulevard.",Trade and pedestrians are prohibited on the Passeig de Gracia Boulevard.,2
8703,The monstrously loaded term of the developed scheme was heard at the hearing by Agent Jack Brooks...,Jack Brooks is a politician.,0
8704,The presence in our modern history of Bagsi Siegel and Kid Twist does not mean that we are a bandit people.,The presence of these repertoires in our history does not guarantee that we are dangerous.,1
8705,"In the absence of a sufficient set of finished designs and measurements, analysis and research can save time and money in implementation, as well as increase our confidence in the results.",Learning from practice can save time and money.,0
8706,It sounds great. It's cool how much you can do with them.,I'm surprised you were allowed to carry food and drinks.,1
8707,Only guides from a local guidance cooperative are recommended.,Perhaps you should only go as a guide.,0
8708,"Mm-hmm, well, computer science and cognitives, so...",Mathematics and literature.,2
8709,"The injection was performed with a small screw, not with a pressure tube in the souffle system for the pilot and back pressure.","No screws, just buttons.",2
8710,"The Director still has no strategy to remove barriers to information exchange; in more than two years after 9/11, he has only established a working group on this issue.",The Director did not believe that barriers to the exchange of information should be completely eliminated.,1
8711,"Unfortunately, we had to move again.","In 1992, we moved back to the new state.",1
8712,"Companion Hazmi remembers that around that time, Hazmi went on an unscheduled trip to San Diego Airport.",Hazmi's neighbor has a good memory.,0
8713,"Using these eight simple techniques, you can fabricate the news without leaving the house.",Writing news in your pajamas is not difficult and financially beneficial if you follow these eight steps.,1
8714,Very soon a friend of IRT will be calling you to take your oath over the phone.,"In order to be eligible for membership, you must make a donation of $100.",1
8715,"They themselves and I like their other songs, but I agree that I wouldn't actually pick a rap.",They had a few hits that came first.,1
8716,"At the beginning of Tambura, Ogl discovered that his progress had been interrupted by Blood, who had blocked his way, and that sudden severity had affected his face and all his features.",Ogle didn't find any resistance when he was moving forward.,2
8717,"We're so used to hearing American companies complaining about foreign competition, that the accusations Kodak makes after his defeat are perceived as another sculptor.",American companies have a favourable view of competition with foreign companies.,2
8718,"I ate really fast, then she came in and eventually joined me.",I ate very slowly so I wouldn't get sick.,2
8719,That damn underwear makes you look like a coward.,It's so brave because of the lower skirt.,2
8720,Both Secretary Powell and Minister Ramsfeld appear to have received reports on these topics from the Deputy Chief of Intelligence as well.,DCI seems to have already informed both Powell and Rumsfeld.,0
8721,"In the absence of a sufficient set of finished designs and measurements, analysis and research can save time and money in implementation, as well as increase our confidence in the results.","Adequate, ready-made designs and measures are preferable.",1
8722,"Notices must be sent to the opposing counsel, the court or the administrative authority.",The opposing counsel and the court will be notified.,0
8723,"With Microsoft's support service, I was able to find out that my CD-ROM disco was probably connected to the sound card, not to the IDE port, and it interfered with Linux.",I'm having trouble connecting Linux to the fashion.,1
8724,You're important to us and I.U.,Me and I.U. don't need you.,2
8725,We look forward to continuing your assistance and continue to work even more closely with you and your staff this year and in fiscal year 2002.,You did something to support us last year.,0
8726,"The main Italian guide to Rome shows with restraint that the building was called Il Colosseo Quadrato, Square Coliseum.",It's a haunted house.,1
8727,"A thin, caustic smile played on an officer's arrogant lips.",The officer smiled.,0
8728,"In Riyadh, he told his brothers that he had been to Jihad in Chechnya.",All three of his brothers intended to go to Chechnya.,1
8729,"You have the audacity to blame me because I will not accept your hands, because I know how stained they are. When I know you as a murderer and even worse than that, he looked at her with surprise.","He decided to take her hands because they were small, tender and, most importantly, clean.",2
8730,"Despite the luxury, they are not attractive at present.","At present, there are no appeals.",0
8731,"Of course you don't even think about it, Peter!",Peter thought he'd be alive if he jumped off a three-story building.,1
8732,"Speaking to audiences such as secondary school students - more than 6,500 students, participants in professional state conferences, Pan-Am press events, all over the United States.",There's gonna be thousands of students from freshman to graduate.,0
8733,"Pyangan is followed by a narrow, almost unattended road that leads to a painting area directly to Batura (see p. 59).",The road doesn't reach Batur.,2
8734,"If you have any questions or suggestions, call me today (924-5471) or Bob Lovell (274-0622).",Bob Lovell can answer the questions.,0
8735,"Two very old novels that still sing in the southwest are La Delgadina, who talks about incest, and La Aparicien, dated from the fifteenth century in Spain.",La Delgandina is still in New Mexico.,1
8736,"It could be our control tower, he suggested to Vance, pointing to the corner of the book shelf.",Someone's talking to Vance.,0
8737,"In this poem, Joakim lives and runs on a ship to Mexico or South America, and the body that is beheaded actually belongs to his good friend Ramen.","In a poem, Joaquin lived in his car.",2
8738,"Yeah, said Ogla, that's true, but there were also those who were still openly and openly opposed to this course.",Ogle never mentioned opponents of the current course.,2
8739,"We may not have had everything we wanted or saw other people have, but it provided the necessary things we needed.",We had everything we really needed.,0
8740,"Left on its own funds, this reaction is exergonic and in the presence of an excess of trimmers, compared to the equilibrium ratio of hexamer to trimmers, will flow exergonically to equilibrium by synthesizing the hexameter.","If this reaction is untouched, it will eventually come to balance.",0
8741,I hope to hear from you soon.,Don't ever talk to me again!,2
8742,"My hero, however, was Richard Hezeltine, chairman of the Overseas Investment Trust, who resigned earlier this month as a sign of disagreement with the business plan imposed by his superiors.",Hazeltine quit his job.,0
8743,"Relajo can also describe a funny connection, a mysterious turn back and forth, which with laughter relieves tension and erases the cause of the momentary tension.",Relajo is joking about the economy.,1
8744,"That's why I didn't graduate from college, but I never read any of the books I had to.",I dropped out of college in 2002.,1
8745,"One of the differences is that other groups have to do this because in order to function, they have to either add new meanings to existing words and phrases or invent new words and phrases.",Some groups need to make up new words that reflect changing times.,1
8746,"But I do know that in some, in many rural areas they are not so good.",They're not very good in agricultural areas.,0
8747,"After the tone, the final recipient in Pakistan goes to Pakistan's hawaladar and receives his money in rupees, from which the Pakistani hawaladar currently has money.","The Pakistani hawalader will give the recipient 5,000 rupees.",1
8748,"Consists of a core of three or four men, with several additional members, palomela was an important unit of socialization that provided young men with a safe place to joke and express themselves.",Palomilas allowed young men to express themselves.,0
8749,The pension fund consists of exchange income and other sources of funding.,The pension fund does not have funding sources.,2
8750,The key tool used by each company to ensure that product design is stable until the end of the product integration phase is a demonstration that design will meet the requirements.,Companies don't use keys.,2
8751,And sometimes it's nice to go out and have a salad.,I never eat salad!,2
8752,"Then I was spinning my bike, I don't know how much, it seemed like all day.",I've been spinning my bike for a long time.,0
8753,"Khalad has provided a second version, namely that all three have travelled together to Karachi.",Khalad said the three of them could travel together.,0
8754,"In the last contract that was signed, Virginia sued or filed a lawsuit against Gratin to stop the construction because it was obtained unfairly or something like that.",The contracts are very messed up.,0
8755,"Today, these Germanisms have not even remained in the United States.","Today, these Germanisms do not even remain in the same place in the United States.",0
8756,Dot had to buy the property and stuff.,The sale of the property and its realization cost more than three million dollars.,1
8757,"In 1863, the nation still wanted to create a more perfect Union, but there was also a past that inspired and worried the new root psyche.",The nation was changing due to political unrest in 1863.,1
8758,We're not real naturalists or anything.,"Actually, we don't consider ourselves naturalists.",0
8759,"I am informed that a frigate left the port yesterday evening, with your comrade Wolverstone on board and one hundred and fifty men serving under your command.","A hundred women, two wild cats, and no man was on the frigate that left the harbor last night.",2
8760,"Small boats for local takeoff can be rented from Sea Horse Boat Rentals, Marsh Harbour port, Abaco Islands (tel.",You can rent a passenger boat.,1
8761,"You continue to the east and pass the unexpectedly unattractive facade of Komishe Opera, one of the most important opera theatres in Berlin.",The Komische Oper is in Australia.,2
8762,During the Sixth Crusade (1228-1229) the emperor of the Holy Roman Empire Friedrich II managed to keep Jerusalem for Christians through negotiations.,The Emperor received Jerusalem for $1 million.,1
8763,The Senate has agreed that a new agency must control nuclear weapons research.,The Senate has proposed a new agency to consider nuclear weapons research.,1
8764,"The capital of Liao in Beijing, then known as Yangjing, was occupying the southeastern region of the modern capital today, with the only surviving monument being the Fayan temple.",No sign of Liao's capital has survived in Beijing until today.,2
8765,"We literally make our world together, we make human beings.","People don't live in the world, it consists only of animals and plants.",2
8766,"On the other hand, there are responsibilities such as IT planning and supervision that must remain internal.",There's IT planning.,0
8767,"If enough people buy this book, they will soon have to issue a second edition, which we hope will include some of the previous (not these) recommendations.","The book will only need one presentation, no matter what.",2
8768,The link between the limited nation and the limitless equality has paradoxical nuances.,The nation doesn't have much to do with infinite equality.,2
8769,Then you were just an unhappy gentleman.,"You haven't been lucky, but you're in a better position now.",1
8770,See the list of beach accents on pages 82 and 85.,There's a list of beaches.,0
8771,One of the language phenomena that have emerged in the last hundred years is the adoption of the idea that an important step in solving problems is to give them a name.,"It is common that there is no point in enumerating problems, as it takes time, and at the same time they appear and change new problems before they can be found solutions.",2
8772,WHAT IS THE OLD PRESENTATION?,There's a challenge for older people.,0
8773,"The last sentence... we assume, of course, that you didn't submit this essay elsewhere.",We understand you published this essay earlier in five newspapers.,2
8774,"I assure you, sir, I've been fully informed of everything.","I'm telling you, I've been told everything.",0
8775,"The media conglomerate works on cycles, so that the fish that is currently passing through the bellies of media kings may not stay there long.",Media conglomeration involves several steps.,0
8776,"When no threshold is adopted, as often occurs in epidemiological studies, it is assumed that each exposure level poses a non-zero risk of reaction to at least one segment of the population.","Even if there's no threshold, there's a huge risk of exposure.",2
8777,"Okay, I'm glad I talked to you.",I'm so glad we had this conversation today!,1
8778,"The area that is most interesting among visitors is the small old neighborhood around the cathedral, which stands on a small hill overlooking the bay.",Visitors like the flowers around the department.,1
8779,"Thus, once a pleasant motive has been found, the next little exercise is to reproduce this motive with slight variations.",It's easy to make an amendment.,0
8780,We'd go in there.,We'll go in.,0
8781,"Knowing all the time that I know how I'll always know this unique, torn voice",I know that voice because it belongs to my mother.,1
8782,Both Secretary General Powell and Secretary Rumsfeld appear to have also been informed of these issues by the DCI.,They were informed of the current state of two groups of self-tangled carriers for an attack in the Mediterranean.,1
8783,"As we celebrate the 90th birthday of the Medical School in Indiana, we realize how much we owe to the dreamers and their dreams.",Indiana University School of Medicine owes a lot to dreamers,0
8784,The answer to the feminism of culture,There is only one answer to the feminism of culture.,1
8785,"Oh, yeah, yeah, it's a great place to visit, really.","I hate going there, it's such a dump!",2
8786,"In this poem Joaquin lives and runs by ship to Mexico or South America, and the headless body actually belongs to his good friend Ramen.",The dead body belongs to Ramen.,0
8787,"Nothing further highlights the subtle complexity of the language than the misunderstandings that occur between pilots, crew members and air traffic controllers.",Pilots don't always communicate well with crew members.,0
8788,"When the attack was identified as related to al-Qaeda, responsibility shifted to the New York field office.",The NYPD handled it when they thought Al-Qaeda was involved.,0
8789,"43 Tommy Franks, General Commander of Central Command (CENTCOM), told us that the president was dissatisfied.",The President was very pleased with the presentation of the General.,2
8790,You are invited to become part of this important new venture to strengthen this growing partnership of two major state universities in Indianapolis.,There are no public schools in Indianapolis.,2
8791,He believed there was a probable cause for a penal order at the time.,He suspected the property was used to cover up an illegal bomb-making operation.,1
8792,"He's from Greece, from a small village in Greece called Tokaleka, and he came to America and I think it was 1969 or 1970, and soon after he got married.",He's a Greek who doesn't speak English.,1
8793,"Third, the warhead Hellfire, carried by Predator, needed work.",Maybe it's good to soon go Hellfire transferred to Predator.,1
8794,It won't go off without the trigger.,There's no trigger to press.,2
8795,Could average data be a source of order in individuals?,There is a theory that the statistical mean is the source of order in organisms.,1
8796,"The United States was not a major source of funding for al-Qaeda, although some funds raised in the United States may have reached al-Qaeda or associated groups.",The United States definitely doesn't give Al-Qaeda any money.,2
8797,"It was a scary weapon, but it weighed so much that it could only be transported five miles (3 miles) a day.",It was very heavy.,0
8798,So that you can perform charity in some way!,He was generous because he had provided others with much food.,1
8799,The trick is to think of myself less as the new sheriff in town and more as one of the nannies the von Trapp kids killed before Maria.,I accept the approach to law and order and I want you to respect my authority as sheriff.,2
8800,The highest virtue of Germany's post-war constitutional order was then the greatest victim of the Nazi regime.,The Nazi regime allowed it.,2
8801,"For both companies and their actions, see the interview 22 of the New York Fire Department, Battalion 28 (January 28).","At the time, there were several companies representing the New York City Fire Squad.",0
8802,The FBI agent received from a foreign government a photo of a man believed to have staged the bomb attack on Cole.,"The picture was a little blurry, but the person's face was still visible.",1
8803,"I mean, independent agents assume that society has an individual or group innate know how to continue to make a living in the natural games of which its world consists.","Agents made $80,000.",1
8804,"Okay, okay, don't go through everything you can.",You can just tell me the end of the story.,1
8805,It's nothing but chaos.,All you get from him is chaos.,0
8806,"Then Grandpa used to say, Pues que recen y se acusten (Okay, let them pray and go to bed).",We had to pray 10 minutes before bedtime.,1
8807,I begin life with a donation of 100 pears and a thousand apples.,My father gave me the fruit.,1
8808,"Thus, the average Webster's Ninth New Collegiate and Random House Webster's College contain at least fifteen percent more information on entry from American Heritage and Webster's New World.",Schools use Webster's College because it's the best.,1
8809,"Faced with this choice, customers will probably retain their right to leave the country.","In order not to go to jail, customers prefer to leave the country early.",1
8810,"Thus, as the diversity of sites in the network is increasing, the diversity of perspective niches for new goods and services is increasing even faster!",The availability of excess opens up opportunities for diversity.,0
8811,"Even if the plane burns, why would it burn and melt through a leading component to leak the radiation?",Radiation can be held during a fire.,1
8812,The Senate has agreed that a new agency must control nuclear weapons research.,The Senate didn't want a new agency looking after nuclear weapons research.,2
8813,"Literacy and mathematical knowledge have come to the fore in recent years as important issues not only (or even more) for the Third World, but also for industrialised countries.",Ignorance is a major problem in the third world.,0
8814,This time I wasn't even happy that she was there because I was so stressed.,I was too worried to be happy that she was there.,0
8815,"You know, it's probably about twenty times, I don't know, twenty times six, something like that, and it's amazing how you can know how many plants you can plant there",It's ridiculous that you can't put any plants there at all.,2
8816,"We will try to contact all of you who have not participated in the financial year in the next 45 days so that our goal can fit within the deadline, which is 30 June.",We have no intention of contacting those who have not made a donation this financial year.,2
8817,And we've been doing it for over 85 years.,We celebrate our history every year for over 85 years.,1
8818,"Vaquero or Buckaroo is a Westerner, and the cowboy is a Southerner.",The cowboy's from South America.,1
8819,"Besides being useful, if you're interested in American politics, the recordings you can listen to the Watergate tape or Nixon's foreign affairs interview are also curious.",Watergate tapes have never been heard from the public.,2
8820,"Lights of wisdom should not be ignored,",The flashes of wisdom are of great importance.,1
8821,"For example, a state capital we visited is home to over 600 software companies.",Software companies avoid capital for legal reasons.,2
8822,"Go behind these sights, to the house with the Seven Towers of Nathaniel Hawthorne.",You mustn't go beyond these sights.,2
8823,"Two days later, Ahmed al Ghamdi and Abdul Aziz al Omari, who live in New Jersey together with Hazmi and Handjour, fly to Miami, which probably means that the four kidnappers have finally been identified.","Ahmed al Gamdi, Abdul Aziz al Omari, Hasmi and Handjour lived together in New Jersey.",0
8824,"Here are the results so far: 5615 aimed at our alumni who are not donors, 81 1.4%, the largest donation, and at least $2840 is $5.","Someone gave over $2,800.",0
8825,"You continue to the east and pass the unexpectedly unattractive facade of Komishe Opera, one of the most important opera theatres in Berlin.",Komische Oper is in Germany.,0
8826,The girl who can help me is across town.,The girl who's gonna help me is five miles from here.,1
8827,"If anything happens to you, Peter, he said, as Blood walked past them, Colonel Bishop better take care of himself.",Bishop was covered in wine stains when Blood approached him.,1
8828,"They had chosen me among 15 other people there to go through this school, and I didn't, I didn't.",I was chosen to go to this school.,0
8829,Sometimes you have to believe that all speaking English should be sent to a madhouse.,English is a very logical and consistent language.,2
8830,"Yeah, I can't, what pisses me off is you lost last December by, what, a few hundred votes.",He lost by not many votes.,0
8831,"Obviously, if you judge honestly, many of AFI's selected songs may not be suitable for cultural interpretations.",AFI makes choices that can be considered arbitrary.,0
8832,This question is about the label of maintaining a love affair with a macroeconomicist.,It's about love and macroeconomics.,0
8833,"And, I think, at night, I couldn't sleep.",I kept having bad dreams that kept me awake.,1
8834,"For the rest of the departments, see records of the New York Fire Department, a computer generated dispatch report, alarm box 1377, 11 September 2001, 09:42:45  ""09:47:05.""",There's a detailed report of every computer-assisted sendback for 38 years.,1
8835,"I'd like to see that, go on.",It would have been great if the fundraiser had lasted until July.,1
8836,"Open spaces discovered from the 1960s are believed to have been used for ball games that had an important, albeit only poorly understood ceremonial goal in Indian culture.",They haven't opened spaces since 1932.,2
8837,The best thing to say about Podhoretz and Dector is that their biological clocks can't have a lot of minutes left.,Dector's 85 years old.,1
8838,The Split Ends cosmetic store is a good example of applied elegance combined with euphemism in the scope and eccentric openness.,Split Ends is an ice cream store.,2
8839,Some of these concepts have demonstrated success on an experimental level and are ready to expand.,Some of them have been successful.,0
8840,"Our most aggressive respondents, excited to reveal all the creativity in one breath, skipped the books and went straight to the authors.",People didn't answer at all.,2
8841,I can't wait.,"To be honest, I'm already afraid of it.",2
8842,We're not real naturalists or anything.,We're completely naturalists and we're offended that they think we're somebody else!,2
8843,"Ogle, he said, with a voice as cold and as sharp as steel, you belong on the gun deck.",You told Ogle that he belonged on the gun deck.,0
8844,"If you go below deck and get your things and your wife, you'll be sent to one of the fleet ships immediately.",There weren't any ships visible.,2
8845,Your contributions to the Maynerhor company's annual fund have provided significant support to the school.,The Mainnerhor organization is receiving private funding from Bill Gates.,2
8846,"In the cabin he threw himself into a chair and exploded, with rage, completely unfamiliar to his nature.",He was sitting on the floor of the cabin because he didn't have any chairs.,2
8847,His hand grabbed the handle of one of the guns standing in front of him.,He had a gun on him.,0
8848,"Colenia de Sant Jordi is crowded with hotels and villas, but it looks like an attempted resort.",There are only small hotels and palaces on the street to stay in.,1
8849,"Folklore dance theatre Dora Strattu presents performances of traditional Greek song, dance and music in traditional folklore village audience on Philopas Hill from May to September, except Mondays.",In the period from May to September there will be dance activities on the Hill Philipoppos.,0
8850,He believed there was a probable cause for a penal order at the time.,There were reasons to suspect a crime was committed.,0
8851,"After the coastline the terrain rises through pines, mimoses, eucalyptus and pyrene at a height of almost 915 m 3000 feet).",The terrain is on slopes.,0
8852,"I mean, there was, I had my watch, and it was all on my feet, and, uh, all the bushes there got white.","It only landed on the ground, so my shoes stayed clean.",2
8853,"She's great, you know, she's big, she'd sit with anyone, she'd play with anyone.",She refuses to sit next to someone she doesn't know yet.,2
8854,It is extremely important to educate Americans about the importance of philanthropy in order to develop a new generation of informed and engaged leaders.,Philanthropy is not important and no one should be a scientist about it.,2
8855,"Consists of a core of three or four men, with several additional members, palomela was an important unit of socialization that provided young men with a safe place to joke and express themselves.",Palomilas consisted only of a few old women who told sad stories about pans.,2
8856,Your investment supports the high quality of all exhibitions of the museum and allows for new achievements.,The investments do not affect the museum in any way.,2
8857,Boston Globe published a highly critical series in four parts for Harvard University.,Boston Globe never wrote about a university.,2
8858,Looking for some balance?,We can help you achieve balance.,1
8859,There are so many stories in the naked city.,I haven't heard any stories.,2
8860,Directors of IT and decision-makers decide what kind of work is suitable for outsourcing and what type of work is best performed internally.,"According to the Chief Information Officer, only the public interest work was good.",1
8861,"We lived on Mallard Creek 85, where it's 485, because ten years ago we had to move to 485.",We used to live there in the green house.,1
8862,"In addition to carefully examining various official documents, the Czech government also examined security camera photos taken outside Iraq's embassy.",The Czech government looked at the photos they had.,0
8863,Prudie agrees that there's something simple about him being seen chewing gum.,Prudie gave up chewing gum when he was in college.,1
8864,Baltimore County firefighters do not have an official programme to provide financial support to firefighters and paramedics who are injured and unable to work.,Baltimore County firefighters don't have a program for injured firefighters and paramedics to give them extra financial help when they get hurt.,0
8865,The time needed to implement this phase of a project is about 17 months for SCR.,It takes four months from start to finish.,2
8866,What the film doesn't mention is that Kaufman has often talked about how he would want to die.,"The film was a sensational success, although they left some important details for Kaufman.",1
8867,We invite every nation to join us.,We need help from all over the world.,0
8868,I can't remember. I've only done this once.,It's only the second time I went to this museum.,1
8869,"Hogwash, of course, is an expression that means something useless, disgusting and inappropriate for human consumption; something like pig shit.",Hogwash is used most often to describe the most important and sensible things.,2
8870,"They had already passed their training in the high suits, and it takes some time to wear the high suits.",We could train you to use a full-pressure suit for the rest of the day.,2
8871,"Deborah Cameron and Deborah Hills (Listening: leading conversations between listeners and radio-telephone programme leaders) studied the program of Radio ElBC, a London radio channel for discussions that I listen to with interest.","I am interested in radio LBC Radio, a comprehensive radio station in London and its programs.",0
8872,The main Italian guide to Rome clearly claims that this building is called Il Colosseo Quadrato (The Square Coliseum).,The building doesn't have a nickname.,2
8873,What if this looks exactly the way I'm trying to do it?,I'm not sure what this looks like to you.,2
8874,So he stayed in Augusta after that?,Did he stay in Augusta?,0
